line_id,date,description,amount,currency,classification,project_code,counterparty,fund,account,account_number,bank_account,mapping_method,rule_id,rule_version,decision_id,source_id,source_excerpt,source_location,close_id,export_profile
L-042,2026-03-23,CREDIT INTEREST,95.47,GBP,Other,OH - Interest Income,,Nordvik Infrastructure V SCSp,,240-222731-132,NIP V - Calder - GBP - 3252,decision,,,DEC-039,SRC-PDF-E15D0BF7-P1,"0848 INTERNAL TRANSFER V400024233703R22 NONREF S+P+ 31 Mar 2026 16,900,000.00 16,946,6",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-043,2026-03-31,"CHARGES FOR 2, OUTWARD SEPA PAYMENT",-0.44,EUR,Other,OH - Bank Fees,,Nordvik Infrastructure V SCSp,,240-222731-030,NIP V - Calder - EUR - 030041,rule,RULE-008,v1,,SRC-PDF-67B25611-P1,",197,694.98 17:46 31 Mar 2026 Narrative CHARGES FOR 2, OUTWARD SEPA PAYMENT GU26109510736433 22434343,63324540,20 0",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-044,2026-03-31,"22434343,63324540,54833311,11522044, NIP CINNABAR APS",-74960.33,EUR,Related Party,Flag for review - no project match,NIP PLATFORM SOLUTIONS APS,Nordvik Infrastructure V SCSp,,240-222731-030,NIP V - Calder - EUR - 030041,decision,,,DEC-040,SRC-PDF-67B25611-P1,",197,695.42 10:18 31 Mar 2026 Narrative 22434343,63324540,54833311,11522044, NIP CINNABAR APS LP87861598574517 35051052 / 412263620 S",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-045,2026-03-31,"35051052 / 412263620, ELLMONT AND CHALWORTH LUXEMBOURG SARL",-8671.31,EUR,Vendor,OH - LEGAL ASSISTANC,Ellmont and Chalworth Luxembourg Sarl,Nordvik Infrastructure V SCSp,,240-222731-030,NIP V - Calder - EUR - 030041,rule,RULE-028,v1,,SRC-PDF-67B25611-P1,",272,655.75 10:18 31 Mar 2026 Narrative 35051052 / 412263620, ELLMONT AND CHALWORTH LUXEMBOURG SARL TT HKM371VDCAJA Q794501891298U42 TFR- 3",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-046,2026-03-31,"BQVRFRPP, /FR6239723540911169279904595 CHARGE WAIVED",-19526285.38,EUR,Internal,Flag for review - no project match,,Nordvik Infrastructure V SCSp,,240-222731-030,NIP V - Calder - EUR - 030041,decision,,,DEC-041,SRC-PDF-67B25611-P1,",281,327.06 06:30 31 Mar 2026 Narrative BQVRFRPP, /FR6239723540911169279904595 CHARGE WAIVED TT EKE400VADVFGU RANFJORD II TRF TFR- C",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-047,2026-03-31,"COMMISSION EUR 6,00, 25515MS49ERZ",-6.0,EUR,Other,OH - Bank Fees,,Nordvik Infrastructure V SCSp,,240-222731-030,NIP V - Calder - EUR - 030041,decision,,,DEC-042,SRC-PDF-67B25611-P1,",807,612.44 06:30 31 Mar 2026 Narrative COMMISSION EUR 6,00, 25515MS49ERZ TT EKE400VADVFGU RANFJORD II TRF TFR- 3",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-048,2026-03-31,"NI RANFJORD II SCSP, 25515MS49ERZ, /DK9152066306262321 EQUITY: FROM NORDVIK INFRAS, TRUCTURE V SCSP EUR) TO NI RANFJORD II SCSP (EUR). PROJECT, RANFJORD II.",-9400000.0,EUR,Investment,Ranfjord II,NI Ranfjord II SCSp - EUR,Nordvik Infrastructure V SCSp,,240-222731-030,NIP V - Calder - EUR - 030041,decision,,,DEC-043,SRC-PDF-67B25611-P1,",807,618.44 06:30 31 Mar 2026 Narrative NI RANFJORD II SCSP, 25515MS49ERZ, /DK9152066306262321 EQUITY: FROM NORDVIK INFRAS, TRUCTURE V SCSP EUR) TO NI RANFJORD II SCSP (EUR). PROJECT, RANFJORD II. ZAQ41907ZZ3414VA NONREF TFR+ 31 Mar 202",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-049,2026-03-31,"NORDVIK INFRASTRUCTURE V, TFR+ NORDVIK INFRASTRUCTURE V SCSP,IS, IN XWDM430033AD,TRANCHE B1 CHARGE WAIVED",29700000.0,EUR,Internal,Flag for review - no project match,Nordvik Infrastructure V SCSp,Nordvik Infrastructure V SCSp,,240-222731-030,NIP V - Calder - EUR - 030041,decision,,,DEC-044,SRC-PDF-67B25611-P1,",207,618.44 06:20 31 Mar 2026 Narrative NORDVIK INFRASTRUCTURE V, TFR+ NORDVIK INFRASTRUCTURE V SCSP,IS, IN XWDM430033AD,TRANCHE B1 CHARGE WAIVED 01 Apr 2026 | Account number 240-222731",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-050,2026-03-31,"BQVRFRPP, /FR6239723540911169279904595 CHARGE WAIVED",-535331.91,EUR,Internal,Flag for review - no project match,,Nordvik Infrastructure V SCSp,,240-222731-030,NIP V - Calder - EUR - 030041,decision,,,DEC-045,SRC-PDF-67B25611-P1,",281,327.06 06:30 31 Mar 2026 Narrative BQVRFRPP, /FR6239723540911169279904595 CHARGE WAIVED TT EKE400VADVFGU RANFJORD II TRF TFR- C",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-051,2026-03-27,"BQVRFRPP, /FR6239723540911169279904595 CHARGE WAIVED",-2000000.0,EUR,Internal,Flag for review - no project match,,Nordvik Infrastructure V SCSp,,240-222731-030,NIP V - Calder - EUR - 030041,decision,,,DEC-046,SRC-PDF-67B25611-P1,",281,327.06 06:30 31 Mar 2026 Narrative BQVRFRPP, /FR6239723540911169279904595 CHARGE WAIVED TT EKE400VADVFGU RANFJORD II TRF TFR- C",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-052,2026-03-25,"BQVRFRPP, /FR6239723540911169279904595 CHARGE WAIVED",-2430836.9,EUR,Internal,Flag for review - no project match,,Nordvik Infrastructure V SCSp,,240-222731-030,NIP V - Calder - EUR - 030041,decision,,,DEC-047,SRC-PDF-67B25611-P1,",281,327.06 06:30 31 Mar 2026 Narrative BQVRFRPP, /FR6239723540911169279904595 CHARGE WAIVED TT EKE400VADVFGU RANFJORD II TRF TFR- C",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-053,2026-03-24,"CHARGES FOR 1, OUTWARD SEPA PAYMENT",-0.22,EUR,Other,OH - Bank Fees,,Nordvik Infrastructure V SCSp,,240-222731-030,NIP V - Calder - EUR - 030041,decision,,,DEC-048,SRC-PDF-67B25611-P1,"as at close 31 Mar 2026 1,197,694.98 NONREF NONREF TFR- 31 Mar 2026 -0.44 1,197,694",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-054,2026-03-24,"1/NORDVIK INFRASTRUCTURE PARTNER, TFR+ CHARGE WAIVED",5001458.33,EUR,Related Party,Flag for review - no project match,NIP P/S,Nordvik Infrastructure V SCSp,,240-222731-030,NIP V - Calder - EUR - 030041,decision,,,DEC-049,SRC-PDF-BEC86EC6-P2,",473,787.47 15:31 24 Mar 2026 Narrative 1/NORDVIK INFRASTRUCTURE PARTNER, TFR+ CHARGE WAIVED DZ48770552331763 00345435 SCT 24 Mar 20",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-055,2026-03-24,"00345435, GARRFIELD",-407.0,EUR,Vendor,Flag for review - no project match,Garrfield,Nordvik Infrastructure V SCSp,,240-222731-030,NIP V - Calder - EUR - 030041,rule,RULE-209,v1,,SRC-PDF-BEC86EC6-P2,"472,329.14 09:40 24 Mar 2026 Narrative 00345435, GARRFIELD TT DAT804CKFPMKI OVERHEADS TRF TFR- CHG",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-056,2026-03-24,"COMMISSION EUR 6,00, 72905UE80MRC",-6.0,EUR,Other,OH - Bank Fees,,Nordvik Infrastructure V SCSp,,240-222731-030,NIP V - Calder - EUR - 030041,decision,,,DEC-050,SRC-PDF-BEC86EC6-P2,"472,736.14 08:11 24 Mar 2026 Narrative COMMISSION EUR 6,00, 72905UE80MRC TT DAT804CKFPMKI OVERHEADS TRF TFR- 24",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-057,2026-03-24,"NI DRACONIS HOLDCO I SCSP, 72905UE80MRC, /DK4836650451224604 EQUITY: FROM NORDVIK, INFRASTRUCTURE V SCSP TO NI DRACONIS HOLDCO I SCSP",-20000.0,EUR,Investment,Flag for review - no project match,NI Draconis HoldCo I SCSp,Nordvik Infrastructure V SCSp,,240-222731-030,NIP V - Calder - EUR - 030041,decision,,,DEC-051,SRC-PDF-BEC86EC6-P2,"472,742.14 08:11 24 Mar 2026 Narrative NI DRACONIS HOLDCO I SCSP, 72905UE80MRC, /DK4836650451224604 EQUITY: FROM NORDVIK, INFRASTRUCTURE V SCSP TO NI DRACONIS HOLDCO I SCSP TT VEM211DNNSFZS OVERHEADS TRF TFR- CHG",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-058,2026-03-24,"COMMISSION EUR 6,00, 67071UB44PDB",-6.0,EUR,Other,OH - Bank Fees,,Nordvik Infrastructure V SCSp,,240-222731-030,NIP V - Calder - EUR - 030041,decision,,,DEC-052,SRC-PDF-BEC86EC6-P2,"492,742.14 08:11 24 Mar 2026 Narrative COMMISSION EUR 6,00, 67071UB44PDB 01 Apr 2026 | Account number 240-222731",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-059,2026-03-24,"NI DRACONIS HOLDCO II SCSP,, 67071UB44PDB, /DK8292743744610923 EQUITY: FROM NORDVIK, INFRASTRUCTURE V SCSP TO NI DRACONIS HOLDCO II SCSP",-20000.0,EUR,Investment,Flag for review - no project match,NI Draconis HoldCo II SCSp,Nordvik Infrastructure V SCSp,,240-222731-030,NIP V - Calder - EUR - 030041,decision,,,DEC-053,SRC-PDF-BEC86EC6-P2,URE V SCSP TO NI DRACONIS HOLDCO I SCSP TT VEM211DNNSFZS OVERHEADS TRF TFR- CHG 24 Mar 2026 -6.0,page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-060,2026-03-24,CREDIT INTEREST,3937.3,EUR,Other,OH - Interest Income,,Nordvik Infrastructure V SCSp,,240-222731-030,NIP V - Calder - EUR - 030041,decision,,,DEC-054,SRC-PDF-67B25611-P1,"as at close 31 Mar 2026 1,197,694.98 NONREF NONREF TFR- 31 Mar 2026 -0.44 1,197,694",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-061,2026-03-31,"COMMISSION DKK 44,84, 53520NL113KD",-44.84,DKK,Other,OH - Bank Fees,,Nordvik Infrastructure V SCSp,,240-222731-135,NIP V - Calder - DKK - 0541,decision,,,DEC-055,SRC-PDF-63BA89AE-P1,",135,207.84 07:10 31 Mar 2026 Narrative COMMISSION DKK 44,84, 53520NL113KD TT FZC682Z51VYRF INV SETTLEMENT S+P- 31",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-062,2026-03-31,"NIP LIT, 53520NL113KD, /DK0441919414619452 289390 RI00031 289159",-2955334.06,DKK,Related Party,Flag for review - no project match,NIP P/S,Nordvik Infrastructure V SCSp,,240-222731-135,NIP V - Calder - DKK - 0541,decision,,,DEC-056,SRC-PDF-63BA89AE-P1,",135,252.68 07:10 31 Mar 2026 Narrative NIP LIT, 53520NL113KD, /DK0441919414619452 289390 RI00031 289159 W233105013769A09 NONREF S+P+ 31 Mar 202",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-063,2026-03-31,"1/NORDVIK INFRASTRUCTURE PARTNER, S+P+ CHARGE WAIVED",4000000.0,DKK,Related Party,Flag for review - no project match,NIP P/S,Nordvik Infrastructure V SCSp,,240-222731-135,NIP V - Calder - DKK - 0541,decision,,,DEC-057,SRC-PDF-63BA89AE-P1,",090,586.74 07:00 31 Mar 2026 Narrative 1/NORDVIK INFRASTRUCTURE PARTNER, S+P+ CHARGE WAIVED TT VWW811I53GRIZ BOARD MEMBER FEE S+P-",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-064,2026-03-31,"COMMISSION DKK 44,84, 29513GJ86YTT",-44.84,DKK,Other,OH - Bank Fees,,Nordvik Infrastructure V SCSp,,240-222731-135,NIP V - Calder - DKK - 0541,decision,,,DEC-058,SRC-PDF-63BA89AE-P1,"4 90,586.74 07:00 31 Mar 2026 Narrative COMMISSION DKK 44,84, 29513GJ86YTT TT VWW811I53GRIZ BOARD MEMBER FEE S+P-",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-065,2026-03-31,"FREJA MOERCH, 29513GJ86YTT, /DK0913720653727193",-75000.0,DKK,Other,OH - BOARD MEMBER FE,,Nordvik Infrastructure V SCSp,,240-222731-135,NIP V - Calder - DKK - 0541,decision,,,DEC-059,SRC-PDF-63BA89AE-P1,"0 90,631.58 07:00 31 Mar 2026 Narrative FREJA MOERCH, 29513GJ86YTT, /DK0913720653727193 Balance brought forward 31 Mar 2026 1",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-066,2026-03-31,"BQVRFRPP, /448323310 CHARGE WAIVED",-184939.74,USD,Internal,Flag for review - no project match,,Nordvik Infrastructure Growth Markets Fund II SCSp,,240-644826-130,NI GMF II - Calder - USD - 4373,decision,,,DEC-060,SRC-PDF-0F7A9CBB-P1,"943,598.38 07:01 31 Mar 2026 Narrative BQVRFRPP, /448323310 CHARGE WAIVED TT YCB037B7GBGIU ATRIA TRF S+P- CHG 31",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-067,2026-03-31,"COMMISSION USD 6,87, 16138PF705L0",-6.87,USD,Other,OH - Bank Fees,,Nordvik Infrastructure Growth Markets Fund II SCSp,,240-644826-130,NI GMF II - Calder - USD - 4373,decision,,,DEC-061,SRC-PDF-0F7A9CBB-P1,",128,538.12 07:00 31 Mar 2026 Narrative COMMISSION USD 6,87, 16138PF705L0 TT YCB037B7GBGIU ATRIA TRF S+P- 31 Mar",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-068,2026-03-31,"NI GMF II COOPERATIEF U.A, 16138PF705L0, /DK8510041070352358 EQUITY: FROM NORDVIK, INFRASTRUCTURE GROWTH MARKET FUND II SCSP TO NI GMF II, COOPERATIEF U.A. PROJECT ATRIA",-40000.0,USD,Investment,Atria,NI GMF II Coöperatief U.A. - USD,Nordvik Infrastructure Growth Markets Fund II SCSp,,240-644826-130,NI GMF II - Calder - USD - 4373,decision,,,DEC-062,SRC-PDF-0F7A9CBB-P1,",128,544.99 07:00 31 Mar 2026 Narrative NI GMF II COOPERATIEF U.A, 16138PF705L0, /DK8510041070352358 EQUITY: FROM NORDVIK, INFRASTRUCTURE GROWTH MARKET FUND II SCSP TO NI GMF II, COOPERATIEF U.A. PROJECT ATRIA TT TJK451YCABAJG INTERNAL TRF S+P- CHG",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-069,2026-03-31,"COMMISSION USD 6,87, 01104ZP014LE",-6.87,USD,Other,OH - Bank Fees,,Nordvik Infrastructure Growth Markets Fund II SCSp,,240-644826-130,NI GMF II - Calder - USD - 4373,decision,,,DEC-063,SRC-PDF-0F7A9CBB-P1,",168,544.99 07:00 31 Mar 2026 Narrative COMMISSION USD 6,87, 01104ZP014LE TT TJK451YCABAJG INTERNAL TRF S+P- 31 M",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-070,2026-03-31,"NI GMF II SCSP, 01104ZP014LE, /DK0996402923176963 INTERNAL TRANSFER",-85000.0,USD,Internal,OVERHEAD,NI GMF II SCSp,Nordvik Infrastructure Growth Markets Fund II SCSp,,240-644826-130,NI GMF II - Calder - USD - 4373,decision,,,DEC-064,SRC-PDF-0F7A9CBB-P1,",168,551.86 07:00 31 Mar 2026 Narrative NI GMF II SCSP, 01104ZP014LE, /DK0996402923176963 INTERNAL TRANSFER TT TID363HB4NMXE TANSYMOOR TRF S+P- CHG",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-071,2026-03-31,"COMMISSION USD 6,87, 94453FH69CVT",-6.87,USD,Other,OH - Bank Fees,,Nordvik Infrastructure Growth Markets Fund II SCSp,,240-644826-130,NI GMF II - Calder - USD - 4373,decision,,,DEC-065,SRC-PDF-0F7A9CBB-P1,",253,551.86 07:00 31 Mar 2026 Narrative COMMISSION USD 6,87, 94453FH69CVT TT TID363HB4NMXE TANSYMOOR TRF S+P- 31",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-072,2026-03-31,"NI GMF II COOPERATIEF U.A., 94453FH69CVT, /DK8510041070352358 EQUITY: FROM NORDVIK INFRAST, RUCTURE GROWTH MARKETS FUND II SCSP TO NI GMF II COOPER, ATIEF U.A. PROJECT TANSYMOOR.",-750000.0,USD,Investment,Tansymoor,NI GMF II Coöperatief U.A. - USD,Nordvik Infrastructure Growth Markets Fund II SCSp,,240-644826-130,NI GMF II - Calder - USD - 4373,decision,,,DEC-066,SRC-PDF-0F7A9CBB-P1,",253,558.73 07:00 31 Mar 2026 Narrative NI GMF II COOPERATIEF U.A., 94453FH69CVT, /DK8510041070352358 EQUITY: FROM NORDVIK INFRAST, RUCTURE GROWTH MARKETS FUND II SCSP TO NI GMF II COOPER, ATIEF U.A. PROJECT TANSYMOOR. 01 Apr 2026 | Account number 240-644826",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-073,2026-03-31,"COMMISSION USD 6,87, 93301QH142TF",-6.87,USD,Other,OH - Bank Fees,,Nordvik Infrastructure Growth Markets Fund II SCSp,,240-644826-130,NI GMF II - Calder - USD - 4373,decision,,,DEC-067,SRC-PDF-F0395546-P2,",003,558.73 07:00 31 Mar 2026 Narrative COMMISSION USD 6,87, 93301QH142TF TT XTT580QZUKJDU IAPETUS TRF S+P- 31 Ma",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-074,2026-03-31,"NI GMF II COOPERATIEF U.A, 93301QH142TF, /DK8510041070352358 EQUITY: FROM NI GMF II SCSP TO, NI GMF II COOPERATIEF U.A. PROJECT IAPETUS.",-667723.0,USD,Investment,Iapetus,NI GMF II Coöperatief U.A. - USD,Nordvik Infrastructure Growth Markets Fund II SCSp,,240-644826-130,NI GMF II - Calder - USD - 4373,decision,,,DEC-068,SRC-PDF-F0395546-P2,",003,565.60 07:00 31 Mar 2026 Narrative NI GMF II COOPERATIEF U.A, 93301QH142TF, /DK8510041070352358 EQUITY: FROM NI GMF II SCSP TO, NI GMF II COOPERATIEF U.A. PROJECT IAPETUS. TT LKS976XV0DUWR BRAGI TRF S+P- CHG 31",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-075,2026-03-31,"COMMISSION USD 6,87, 43433NJ28TB0",-6.87,USD,Other,OH - Bank Fees,,Nordvik Infrastructure Growth Markets Fund II SCSp,,240-644826-130,NI GMF II - Calder - USD - 4373,decision,,,DEC-069,SRC-PDF-F0395546-P2,",671,288.60 07:00 31 Mar 2026 Narrative COMMISSION USD 6,87, 43433NJ28TB0 TT LKS976XV0DUWR BRAGI TRF S+P- 31 Mar",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-076,2026-03-31,"NI GMF II COOPERATIEF U.A, 43433NJ28TB0, /DK8510041070352358 EQUITY: FROM NORDVIK, INFRASTRUCTURE GROWTH MARKETS FUND II SCSP TO NI GMF II, COOPERATIEF U.A. PROJECT BRAGI.",-736000.0,USD,Investment,Bragi,NI GMF II Coöperatief U.A. - USD,Nordvik Infrastructure Growth Markets Fund II SCSp,,240-644826-130,NI GMF II - Calder - USD - 4373,decision,,,DEC-070,SRC-PDF-F0395546-P2,",671,295.47 07:00 31 Mar 2026 Narrative NI GMF II COOPERATIEF U.A, 43433NJ28TB0, /DK8510041070352358 EQUITY: FROM NORDVIK, INFRASTRUCTURE GROWTH MARKETS FUND II SCSP TO NI GMF II, COOPERATIEF U.A. PROJECT BRAGI. TT KCX456J16RYR PFMDHL1651253510 S+P- 2",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-077,2026-03-27,"BQVRFRPP, /448323310 CHARGE WAIVED",-10000000.0,USD,Internal,Flag for review - no project match,,Nordvik Infrastructure Growth Markets Fund II SCSp,,240-644826-130,NI GMF II - Calder - USD - 4373,decision,,,DEC-071,SRC-PDF-0F7A9CBB-P1,"943,598.38 07:01 31 Mar 2026 Narrative BQVRFRPP, /448323310 CHARGE WAIVED TT YCB037B7GBGIU ATRIA TRF S+P- CHG 31",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-078,2026-03-24,"1/NORDVIK INFRASTRUCTURE PARTNER, S+P+ CHARGE WAIVED",13007460.48,USD,Related Party,Flag for review - no project match,NIP P/S,Nordvik Infrastructure Growth Markets Fund II SCSp,,240-644826-130,NI GMF II - Calder - USD - 4373,decision,,,DEC-072,SRC-PDF-F0395546-P2,",407,295.47 16:36 24 Mar 2026 Narrative 1/NORDVIK INFRASTRUCTURE PARTNER, S+P+ CHARGE WAIVED TT HZR353RVTFKKR NI GMF II COOPER S+P-",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-079,2026-03-24,"COMMISSION USD 6,97, 40123ZC60S9V",-6.97,USD,Other,OH - Bank Fees,,Nordvik Infrastructure Growth Markets Fund II SCSp,,240-644826-130,NI GMF II - Calder - USD - 4373,decision,,,DEC-073,SRC-PDF-F0395546-P2,"399,834.99 08:09 24 Mar 2026 Narrative COMMISSION USD 6,97, 40123ZC60S9V TT HZR353RVTFKKR NI GMF II COOPER S+P-",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-080,2026-03-24,"NI GMF II COOPERATIEF U.A, 40123ZC60S9V, /DK8510041070352358 EQUITY: FROM NORDVIK, INFRASTRUCTURE GROWTH MARKET FUND, II SCSP TO NI GMF II COOPERATIEF, U.A. PROJECT OFW-XX-1",-20000.0,USD,Investment,OFW-XX-1 (New Market Screening NMF),NI GMF II Coöperatief U.A. - USD,Nordvik Infrastructure Growth Markets Fund II SCSp,,240-644826-130,NI GMF II - Calder - USD - 4373,decision,,,DEC-074,SRC-PDF-F0395546-P2,"399,841.96 08:09 24 Mar 2026 Narrative NI GMF II COOPERATIEF U.A, 40123ZC60S9V, /DK8510041070352358 EQUITY: FROM NORDVIK, INFRASTRUCTURE GROWTH MARKET FUND, II SCSP TO NI GMF II COOPERATIEF, U.A. PROJECT OFW-XX-1 TT UPP910JIFPXRB ELMWOOD TRF S+P- CHG 2",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-081,2026-03-24,"COMMISSION USD 6,97, 20235GB45D5M",-6.97,USD,Other,OH - Bank Fees,,Nordvik Infrastructure Growth Markets Fund II SCSp,,240-644826-130,NI GMF II - Calder - USD - 4373,decision,,,DEC-075,SRC-PDF-F0395546-P2,"419,841.96 08:08 24 Mar 2026 Narrative COMMISSION USD 6,97, 20235GB45D5M TT UPP910JIFPXRB ELMWOOD TRF S+P- 24 Ma",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-082,2026-03-24,"NI GMF II COOPERATIEF U.A, 20235GB45D5M, /DK8510041070352358 EQUITY: FROM NORDVIK, INFRASTRUCTURE GROWTH MARKETS FUND, II SCSP TO NI GMF II COOPERATIEF, U.A. PROJECT ELMWOOD.",-260000.0,USD,Investment,Elmwood,NI GMF II Coöperatief U.A. - USD,Nordvik Infrastructure Growth Markets Fund II SCSp,,240-644826-130,NI GMF II - Calder - USD - 4373,decision,,,DEC-076,SRC-PDF-F0395546-P2,"419,848.93 08:08 24 Mar 2026 Narrative NI GMF II COOPERATIEF U.A, 20235GB45D5M, /DK8510041070352358 EQUITY: FROM NORDVIK, INFRASTRUCTURE GROWTH MARKETS FUND, II SCSP TO NI GMF II COOPERATIEF, U.A. PROJECT ELMWOOD. TT WKK555IJRWKY A452951323977R68 S+P- 2",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-083,2026-03-24,"BQVRFRPP, /448323310 CHARGE WAIVED",-38739.87,USD,Internal,Flag for review - no project match,,Nordvik Infrastructure Growth Markets Fund II SCSp,,240-644826-130,NI GMF II - Calder - USD - 4373,decision,,,DEC-077,SRC-PDF-0F7A9CBB-P1,"943,598.38 07:01 31 Mar 2026 Narrative BQVRFRPP, /448323310 CHARGE WAIVED TT YCB037B7GBGIU ATRIA TRF S+P- CHG 31",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-084,2026-03-23,CREDIT INTEREST,3260.28,USD,Other,OH - Interest Income,,Nordvik Infrastructure Growth Markets Fund II SCSp,,240-644826-130,NI GMF II - Calder - USD - 4373,decision,,,DEC-078,SRC-PDF-F0395546-P2,"48323310 CHARGE WAIVED SECVJT1732059308 NONREF S+P+ 24 Mar 2026 13,007,460.48 13,407,2",page 2,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-085,2026-03-31,"CHARGES FOR 2, OUTWARD SEPA PAYMENT",-0.44,EUR,Other,OH - Bank Fees,,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,,240-524291-030,Calder 0894 EUR,rule,RULE-008,v1,,SRC-PDF-D9705A79-P1,",217,773.59 17:46 31 Mar 2026 Narrative CHARGES FOR 2, OUTWARD SEPA PAYMENT 10716RS62GWQ CEPHALUS TRF TFR+ 31 Mar 2",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-086,2026-03-31,"NORDVIK I.A.B. FUND I, TFR+ PMT FRM NI ABF II SCSP TO NI ABF I, SCSP FOR PURCHASE 100PER OF ACC INT, IN CEPHALUS BIOGAS 001 LTD PREMIUM, ACCRUED INTEREST PROJECT CEPHALUS",301908.7,EUR,Investment Transfer,Cephalus,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,,240-524291-030,Calder 0894 EUR,decision,,,DEC-079,SRC-PDF-D9705A79-P1,",217,774.03 11:01 31 Mar 2026 Narrative NORDVIK I.A.B. FUND I, TFR+ PMT FRM NI ABF II SCSP TO NI ABF I, SCSP FOR PURCHASE 100PER OF ACC INT, IN CEPHALUS BIOGAS 001 LTD PREMIUM, ACCRUED INTEREST PROJECT CEPHALUS 85720JS23WNK CEPHALUS TRF TFR+ 31 Mar 2",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
L-087,2026-03-31,"NORDVIK I.A.B. FUND I, TFR+ PMT FRM NI ABF II SCSP TO NI ABF I, SCSP FOR ACQ 100PER OF SHARES IN, CEPHALUS BIOGAS 001 LTD REL TOTAL, PREMIUM (EQUITY) PROJECT CEPHALUS)",2013809.89,EUR,Investment Transfer,Cephalus,Nordvik Infrastructure Advanced Bioenergy Fund II SCSp,Nordvik Infrastructure Advanced Bioenergy Fund I SCSp,,240-524291-030,Calder 0894 EUR,decision,,,DEC-080,SRC-PDF-D9705A79-P1,",915,865.33 11:01 31 Mar 2026 Narrative NORDVIK I.A.B. FUND I, TFR+ PMT FRM NI ABF II SCSP TO NI ABF I, SCSP FOR ACQ 100PER OF SHARES IN, CEPHALUS BIOGAS 001 LTD REL TOTAL, PREMIUM (EQUITY) PROJECT CEPHALUS) 24381JR11YY3 CEPHALUS TRF TFR+ 31 Mar 2",page 1,CLOSE-2026-03-CALDER-WEEK,validated_mapping_csv_v1
